latitude,longtitude,depth,temperature,time
,,3.587,21.0,1712825770266
,,3.587,21.0,1712825770367
,,3.587,21.0,1712825770401
,,3.559,21.0,1712825770504
,,3.559,21.0,1712825770536
,,3.614,21.0,1712825770637
,,3.614,21.0,1712825770671
,,3.642,21.0,1712825770771
,,3.642,21.0,1712825770806
,,3.614,21.0,1712825770909
,,3.614,21.0,1712825770943
,,3.614,21.0,1712825771049
,,3.614,21.0,1712825771082
,,3.614,21.0,1712825771169
,,3.669,21.0,1712825771215
,,3.669,21.0,1712825771282
,,3.696,21.0,1712825771351
,,3.669,21.0,1712825771430
,,3.614,21.0,1712825771594
,,3.587,21.0,1712825771605
,,3.587,21.0,1712825771623
,,3.587,21.0,1712825771725
,,3.587,21.0,1712825771759
,,3.614,21.0,1712825771861
,,3.614,21.0,1712825771899
,,3.587,21.0,1712825771965
,,3.532,21.0,1712825772033
,,3.505,21.0,1712825772100
,,3.505,21.0,1712825772208
,,3.505,21.0,1712825772235
,,3.559,21.0,1712825772439
,,3.559,21.0,1712825772546
,,3.559,21.0,1712825772576
,,3.559,21.0,1712825772679
,,3.559,21.0,1712825772714
,,3.559,21.0,1712825772818
,,3.559,21.0,1712825772848
,,3.559,21.0,1712825772915
,,3.587,21.0,1712825772998
,,3.587,21.0,1712825773230
,,3.614,21.0,1712825773234
,,3.642,21.0,1712825773256
,,3.614,21.0,1712825773330
,,3.614,21.0,1712825773434
,,3.614,21.0,1712825773460
,,3.642,21.0,1712825773561
,,3.614,21.0,1712825773594
,,3.614,21.0,1712825773698
,,3.614,21.0,1712825773731
,,3.614,21.0,1712825773845
,,3.614,21.0,1712825773877
,,3.587,21.0,1712825774003
,,3.587,21.0,1712825774208
,,3.587,21.0,1712825774312
,,3.587,21.0,1712825774342
,,3.587,21.0,1712825774456
,,3.559,21.0,1712825774479
,,3.559,21.0,1712825774553
,,3.559,21.0,1712825774666
,,3.559,21.0,1712825774689
,,3.587,21.0,1712825774759
,,3.587,21.0,1712825774818
,,3.587,21.0,1712825774889
,,3.559,21.0,1712825774953
,,3.559,21.0,1712825775071
,,3.559,21.0,1712825775092
,,3.559,21.0,1712825775177
,,3.614,21.0,1712825775298
,,3.614,21.0,1712825775386
,,3.614,21.0,1712825775434
,,3.614,21.0,1712825775536
,,3.614,21.0,1712825775568
,,3.559,21.0,1712825775673
,,3.559,21.0,1712825775705
,,3.587,21.0,1712825775777
,,3.614,21.0,1712825776113
,,3.587,21.0,1712825776204
,,3.587,21.0,1712825776248
,,3.587,21.0,1712825776348
,,3.559,21.0,1712825776382
,,3.587,21.0,1712825776484
,,3.587,21.0,1712825776520
,,3.614,21.0,1712825776611
,,3.614,21.0,1712825776656
,,3.642,21.0,1712825776758
,,3.642,21.0,1712825776792
,,3.614,21.0,1712825776880
,,3.614,21.0,1712825776928
,,3.669,21.0,1712825777003
,,3.669,21.0,1712825777067
,,3.696,21.0,1712825777141
,,3.696,21.0,1712825777199
,,3.669,21.0,1712825777308
,,3.642,21.0,1712825777338
,,3.642,21.0,1712825777428
,,3.642,21.0,1712825777471
,,3.642,21.0,1712825777576
,,3.642,21.0,1712825777608
,,3.669,21.0,1712825777769
,,3.642,21.0,1712825777880
,,3.614,21.0,1712825777981
,,3.587,21.0,1712825778016
,,3.559,21.0,1712825778121
,,3.559,21.0,1712825778152
,,3.587,21.0,1712825778251
,,3.614,21.0,1712825778289
,,3.614,21.0,1712825778392
,,3.614,21.0,1712825778425
,,3.614,21.0,1712825778531
,,3.614,21.0,1712825778560
,,3.587,21.0,1712825778700
,,3.587,21.0,1712825778777
,,3.587,21.0,1712825778833
,,3.614,21.0,1712825778901
,,3.642,21.0,1712825778969
,,3.642,21.0,1712825779067
,,3.642,21.0,1712825779104
,,3.642,21.0,1712825779213
,,3.642,21.0,1712825779241
,,3.642,21.0,1712825779343
,,3.587,21.0,1712825779374
,,3.587,21.0,1712825779453
,,3.587,21.0,1712825779515
,,3.614,21.0,1712825779616
,,3.614,21.0,1712825779648
,,3.614,21.0,1712825779716
,,3.614,21.0,1712825779785
,,3.642,21.0,1712825779989
,,3.642,21.0,1712825779997
,,3.559,21.0,1712825780097
,,3.559,21.0,1712825780122
,,3.559,21.0,1712825780191
,,3.559,21.0,1712825780294
,,3.587,21.0,1712825780326
,,3.587,21.0,1712825780395
,,3.587,21.0,1712825780463
,,3.587,21.0,1712825780532
,,3.587,21.0,1712825780600
,,3.587,21.0,1712825780684
,,3.559,21.0,1712825780734
,,3.587,21.0,1712825780803
,,3.587,21.0,1712825780870
,,3.587,21.0,1712825780938
,,3.614,21.0,1712825781007
,,3.614,21.0,1712825781077
,,3.614,21.0,1712825781145
,,3.587,21.0,1712825781349
,,3.587,21.0,1712825781417
,,3.559,21.0,1712825781514
,,3.532,21.0,1712825781553
,,3.532,21.0,1712825781620
,,3.559,21.0,1712825781689
,,3.559,21.0,1712825781824
,,3.559,21.0,1712825781893
,,3.559,21.0,1712825781960
,,3.559,21.0,1712825782030
,,3.559,21.0,1712825782101
,,3.559,21.0,1712825782177
,,3.587,21.0,1712825782231
,,3.587,21.0,1712825782330
,,3.614,21.0,1712825782366
,,3.614,21.0,1712825782467
,,3.614,21.0,1712825782503
,,3.587,21.0,1712825782583
,,3.587,21.0,1712825782639
,,3.614,21.0,1712825782753
,,3.642,21.0,1712825782774
,,3.614,21.0,1712825782959
,,3.614,21.0,1712825782979
,,3.587,21.0,1712825783053
,,3.587,21.0,1712825783183
,,3.587,21.0,1712825783257
,,3.559,21.0,1712825783367
,,3.614,21.0,1712825783386
,,3.614,21.0,1712825783455
,,3.614,21.0,1712825783591
,,3.614,21.0,1712825783667
,,3.614,21.0,1712825783776
,,3.614,21.0,1712825783796
,,3.587,21.0,1712825783895
,,3.587,21.0,1712825783930
,,3.614,21.0,1712825784177
,,3.642,21.0,1712825784203
,,3.614,21.0,1712825784293
,,3.614,21.0,1712825784339
,,3.642,21.0,1712825784500
,,3.642,21.0,1712825784542
,,3.642,21.0,1712825784613
,,3.642,21.0,1712825784702
,,3.642,21.0,1712825784747
,,3.642,21.0,1712825784853
,,3.642,21.0,1712825784885
,,3.642,21.0,1712825784987
,,3.642,21.0,1712825785021
,,3.642,21.0,1712825785107
,,3.669,21.0,1712825785158
,,3.696,21.0,1712825785290
,,3.696,21.0,1712825785396
,,3.669,21.0,1712825785429
,,3.642,21.0,1712825785515
,,3.642,21.0,1712825785568
,,3.642,21.0,1712825785633
,,3.642,21.0,1712825785701
,,3.642,21.0,1712825785778
,,3.642,21.0,1712825785933
,,3.642,21.0,1712825785946
,,3.614,21.0,1712825785970
,,3.532,21.0,1712825786074
,,3.505,21.0,1712825786107
,,3.505,21.0,1712825786199
,,3.532,21.0,1712825786244
,,3.532,21.0,1712825786336
,,3.559,21.0,1712825786457
,,3.559,21.0,1712825786514
,,3.559,21.0,1712825786582
,,3.559,21.0,1712825786729
,,3.559,21.0,1712825786852
,,3.559,21.0,1712825786863
,,3.587,21.0,1712825786951
40.464956666666666,22.85274666666667,3.587,,1712825786951
,,3.614,21.0,1712825786991
,,3.614,21.0,1712825787096
,,3.587,21.0,1712825787126
,,3.614,21.0,1712825787230
,,3.614,21.0,1712825787264
,,3.587,21.0,1712825787332
,,3.559,21.0,1712825787418
,,3.559,21.0,1712825787469
,,3.559,21.0,1712825787535
,,3.532,21.0,1712825787658
,,3.532,21.0,1712825787674
,,3.532,21.0,1712825787769
,,3.505,21.0,1712825787808
,,3.532,21.0,1712825787909
40.464955,22.85274,3.532,,1712825787909
,,3.532,21.0,1712825787943
,,3.532,21.0,1712825788046
,,3.532,21.0,1712825788077
,,3.532,21.0,1712825788179
,,3.532,21.0,1712825788214
,,3.532,21.0,1712825788282
,,3.532,21.0,1712825788353
,,3.532,21.0,1712825788421
,,3.532,21.0,1712825788522
,,3.532,21.0,1712825788556
,,3.532,21.0,1712825788660
,,3.532,21.0,1712825788693
,,3.532,21.0,1712825788792
,,3.532,21.0,1712825788826
,,3.532,21.0,1712825788931
,,3.505,21.0,1712825788964
40.464956666666666,22.852755000000002,3.505,,1712825788964
,,3.505,21.0,1712825789066
,,3.505,21.0,1712825789100
,,3.505,21.0,1712825789204
,,3.505,21.0,1712825789323
,,3.505,21.0,1712825789371
,,3.505,21.0,1712825789437
,,3.505,21.0,1712825789716
,,3.505,21.0,1712825789719
,,3.505,21.0,1712825789818
,,3.532,21.0,1712825789845
,,3.532,21.0,1712825789949
40.46496333333334,22.852758333333334,3.532,,1712825789949
,,3.532,21.0,1712825789981
,,3.532,21.0,1712825790084
,,3.532,21.0,1712825790121
,,3.532,21.0,1712825790193
,,3.532,21.0,1712825790264
,,3.532,21.0,1712825790328
,,3.532,21.0,1712825790460
,,3.532,21.0,1712825790564
,,3.532,21.0,1712825790704
,,3.532,21.0,1712825790843
,,3.532,21.0,1712825790868
40.46496,22.85275,3.532,,1712825790868
,,3.532,21.0,1712825790965
,,3.532,21.0,1712825791002
,,3.532,21.0,1712825791108
,,3.532,21.0,1712825791213
,,3.532,21.0,1712825791524
,,3.532,21.0,1712825791546
,,3.559,21.0,1712825791660
,,3.559,21.0,1712825791683
,,3.532,21.0,1712825791757
,,3.559,21.0,1712825791865
,,3.532,21.0,1712825791888
40.464955,22.852735,3.532,,1712825791888
,,3.559,21.0,1712825791962
,,3.559,21.0,1712825792072
,,3.559,21.0,1712825792480
,,3.559,21.0,1712825792497
,,3.559,21.0,1712825792582
,,3.559,21.0,1712825792685
,,3.559,21.0,1712825792702
,,3.559,21.0,1712825792786
,,3.559,21.0,1712825792890
,,3.614,21.0,1712825792908
40.464953333333334,22.852728333333335,3.614,,1712825792908
,,3.614,21.0,1712825792993
,,3.614,21.0,1712825793043
,,3.614,21.0,1712825793116
,,3.614,21.0,1712825793179
,,3.587,21.0,1712825793251
,,3.587,21.0,1712825793365
,,3.614,21.0,1712825793383
,,3.614,21.0,1712825793490
,,3.614,21.0,1712825793517
,,3.614,21.0,1712825793605
,,3.614,21.0,1712825793653
,,3.587,21.0,1712825793759
,,3.587,21.0,1712825793791
,,3.614,21.0,1712825793894
,,3.614,21.0,1712825793926
40.46495166666667,22.85272166666667,3.614,,1712825793926
,,3.642,21.0,1712825794012
,,3.669,21.0,1712825794062
,,3.642,21.0,1712825794130
,,3.614,21.0,1712825794198
,,3.587,21.0,1712825794306
,,3.587,21.0,1712825794335
,,3.587,21.0,1712825794426
,,3.614,21.0,1712825794472
,,3.642,21.0,1712825794577
,,3.669,21.0,1712825794612
,,3.669,21.0,1712825794709
,,3.642,21.0,1712825794743
,,3.614,21.0,1712825794835
,,3.614,21.0,1712825794881
40.46495,22.852714999999996,3.614,,1712825794881
,,3.614,21.0,1712825794981
,,3.614,21.0,1712825795017
,,3.614,21.0,1712825795104
,,3.642,21.0,1712825795152
,,3.614,21.0,1712825795219
,,3.614,21.0,1712825795296
,,3.614,21.0,1712825795450
,,3.559,21.0,1712825795455
,,3.559,21.0,1712825795490
,,3.587,21.0,1712825795626
,,3.587,21.0,1712825795730
,,3.614,21.0,1712825795763
